Date,INR,EUR,GBP,JPY,CNY,CAD,AUD,CHF,SGD,MYR,THB,MXN,BRL,KRW,ZAR
2029-01-01,12614.2,287.3,181.6,31128.94,2244.21,406.56,523.11,439.08,468.9,1029.95,11687.24,2601.98,528.53,341239.36,2051.77
2029-01-02,12619.13,287.41,181.67,31141.1,2245.09,406.72,523.31,439.26,469.08,1030.35,11691.81,2603.0,528.73,341372.64,2052.57
2029-01-03,12624.06,287.53,181.74,31153.26,2245.96,406.88,523.52,439.43,469.27,1030.76,11696.37,2604.02,528.94,341505.92,2053.38
2029-01-04,12628.98,287.64,181.81,31165.42,2246.84,407.04,523.72,439.6,469.45,1031.16,11700.94,2605.03,529.15,341639.2,2054.18
2029-01-05,12633.91,287.75,181.88,31177.58,2247.72,407.2,523.92,439.77,469.63,1031.56,11705.5,2606.05,529.35,341772.49,2054.98
2029-01-06,12638.84,287.86,181.95,31189.74,2248.59,407.35,524.13,439.94,469.81,1031.96,11710.07,2607.07,529.56,341905.77,2055.78
2029-01-07,12643.76,287.98,182.02,31201.89,2249.47,407.51,524.33,440.11,470.0,1032.37,11714.63,2608.08,529.77,342039.05,2056.58
2029-01-08,12648.69,288.09,182.09,31214.05,2250.35,407.67,524.54,440.29,470.18,1032.77,11719.2,2609.1,529.97,342172.33,2057.38
2029-01-09,12653.62,288.2,182.16,31226.21,2251.22,407.83,524.74,440.46,470.36,1033.17,11723.76,2610.11,530.18,342305.61,2058.18
2029-01-10,12658.54,288.31,182.24,31238.37,2252.1,407.99,524.95,440.63,470.55,1033.57,11728.33,2611.13,530.39,342438.89,2058.99
2029-01-11,12663.47,288.42,182.31,31250.53,2252.98,408.15,525.15,440.8,470.73,1033.97,11732.89,2612.15,530.59,342572.18,2059.79
2029-01-12,12668.4,288.54,182.38,31262.69,2253.85,408.31,525.35,440.97,470.91,1034.38,11737.46,2613.16,530.8,342705.46,2060.59
2029-01-13,12673.32,288.65,182.45,31274.84,2254.73,408.47,525.56,441.14,471.1,1034.78,11742.02,2614.18,531.01,342838.74,2061.39
2029-01-14,12678.25,288.76,182.52,31287.0,2255.61,408.62,525.76,441.31,471.28,1035.18,11746.59,2615.2,531.21,342972.02,2062.19
2029-01-15,12683.18,288.87,182.59,31299.16,2256.48,408.78,525.97,441.49,471.46,1035.58,11751.15,2616.21,531.42,343105.3,2062.99
2029-01-16,12688.1,288.99,182.66,31311.32,2257.36,408.94,526.17,441.66,471.65,1035.99,11755.72,2617.23,531.62,343238.58,2063.79
2029-01-17,12693.03,289.1,182.73,31323.48,2258.24,409.1,526.38,441.83,471.83,1036.39,11760.28,2618.24,531.83,343371.86,2064.59
2029-01-18,12697.96,289.21,182.8,31335.64,2259.11,409.26,526.58,442.0,472.01,1036.79,11764.85,2619.26,532.04,343505.15,2065.4
